,kor,eng
339,그녀는 나 없이 아무 데서나 잘 자나요 ?,Does she sleep well anywhere without me ?
340,그녀는 나를 낳아주셨고 말이 잘 통해요 .,She gave birth to me and I feel connected to her .
341,그녀는 나를 미치게 합니다 .,She drives me crazy .
342,그녀는 나를 보면 나를 껴안아 줍니다 .,Whenever she sees me she hugs me .
343,그녀는 나를 설득하기 위해 자녀들과 남편 친구들까지 다 데리고 왔어 .,To convince me she has brought her kids husband and friends .
344,그녀는 나를 위해 높은 곳에 있는 물건을 꺼내줍니다 .,She takes things that are out of reach for me .
345,그녀는 나를 혼란스럽게 해요 .,She is giving me mixed signals .
346,그녀는 나만큼 공부를 못해요 .,She cannot study well like me .
347,그녀는 나뭇가지를 땅에 떨어뜨렸어요 .,She dropped the branches on the ground .
348,그녀는 나쁜 사람이 아니에요 .,She is not a bad person .
349,그녀는 나아지지 않았기 때문에 그들은 헤어졌습니다 .,They broke up because she did not get better .
350,그녀는 나에 대한 소문을 내고 다녀요 .,She keeps making rumors about me .
351,그녀는 나에게 가수의 포스터를 줬어 .,She gave me a poster of a singer .
352,그녀는 나에게 대부분의 사람들이 나와 친구가 되길 원한다고 말했습니다 .,She told me that most people want to be my friends .
353,그녀는 나에게 도와달라고 했습니다 .,She asked me to help her .
354,그녀는 나에게 미안하다고 해야 합니다 .,She should say sorry to me .
355,그녀는 나에게 수영을 하라고 충고했습니다 .,She advised me to swim .
356,그녀는 나에게 온 행운의 여신입니다 .,She is the lucky goddess who came to me .
357,그녀는 나에게 이 책이 정말 재미있다고 했어요 .,She told me this book is very funny .
358,그녀는 나에게 이렇게 말했습니다 .,She talked to me like this .
359,그녀는 나에게 있어서 언니 같은 존재입니다 .,She s like a sister to me .
360,그녀는 나에게 키스를 했어 .,She kissed me .
361,그녀는 나에게 화가 났을거에요 .,She s got to be crazy .
362,그녀는 나와 끝까지 같이 갈 친구야 .,She is the friend to be together till the end .
363,그녀는 나와 연락하고 싶어 하지 않습니다 .,She doesn t want to keep in touch with me .
364,그녀는 나의 5학년 때 담임선생님입니다 .,She is my 5th grade homeroom teacher .
365,그녀는 나의 말을 너무나도 터무니없이 다른 뜻으로 받아들이고 있어요 .,She is reading too much into what I said .
366,그녀는 나의 모든 일정을 함께 했어요 .,She was with me during all the schedule .
367,그녀는 나의 사랑스러운 신부야 .,She is my dearest bride .
368,그녀는 나의 선생님 나의 첫사랑 나의 애인이야 .,She is my teacher my first love and my lover .
369,그녀는 나의 소녀 설희였어요 .,She was my girl Seoul Hee .
370,그녀는 나의 소중한 사람이에요 .,She is my beloved one .
371,그녀는 나의 여자친구입니다 .,She is my girlfriend .
372,그녀는 나의 우상이에요 .,She is my hero .
373,그녀는 나이가 꽤 있는데 이제 은퇴할 시기 아닌가요 ?,Isn t it time for her to retire since she is quite old ?
374,그녀는 나이에 비해 성숙하고 정도 많았어 .,She was mature and warmhearted for her age .
375,그녀는 나중에 무엇이 되고 싶어 하나요 ?,What does she want to be in the future ?
376,그녀는 나한테 9달러를 주지 않았어요 .,She didn t give me 9 dollars .
377,그녀는 나한테 그가 열이 있다고 말했어요 .,She told me that he had a fever .
378,그녀는 낙관적인 사람이에요 .,She is an optimistic person .
379,그녀는 날 귀찮아하는 거 같아 .,I think that woman annoyed me .
380,그녀는 날씬한 몸매를 가졌습니다 .,She has a slim body .
381,그녀는 날카로운 코에 눈매는 깊고 관능적이야 .,She has a sharp nose and deep sexy eyes .
382,그녀는 낡은 차라도 괜찮다고 했어 .,She said she didn t mind if it s an old car .
383,그녀는 남의 일에 간섭하는 것을 꽤 좋아하죠 .,She is quite ready to put her nose into others business .
384,그녀는 남자의 요건과 외모를 중요시합니다 .,She puts importance on man s career and appearance .
385,그녀는 남자의 이름을 맞추기 위해 어떤 노력을 했나요 ?,What effort did she made to figure out the man s name ?
386,그녀는 남자주인공과 부부관계였어요 .,She married to a male main character .
387,그녀는 남편을 위해 하루에 세 끼를 요리합니다 .,She cooks three meals a day fo her husband .
388,그녀는 남편을 잃은 아픔을 예술로 승화시켰다 .,She sublimated the pain of losing her husband to art .
389,그녀는 남편을 진심으로 사랑해요 .,She loves her husband with all her heart .
390,그녀는 남편의 이름을 부르며 자살해요 .,She commits suicide calling her husband s name .
391,그녀는 남편이 돈이 벌기를 원했어요 .,She wanted her husband to make money .
392,그녀는 내 가장 친한 친구입니다 .,She s my bestfriend .
393,그녀는 내 사랑의 대상이에요 .,She s the object of my affections .
394,그녀는 내 생각의 족적을 따라 언제나 내 곁에 있습니다 .,She is always by my side following the footprints of my thoughts .
395,그녀는 내 아들과 딸의 대학 합격 소식을 듣고 좋아했어요 .,She was happy that my son and daughter were accepted at college .
396,그녀는 내 옆에서 그녀가 겪은 일 들을 애기해 줬어요 .,She told me about what she has been through next to me .
397,그녀는 내 이름을 부르고 말했어요 .,She called my name and said what she had to say .
398,그녀는 내 이야기를 계속 잊어버려 .,She keeps forgetting my story .
399,그녀는 내 이야기를 잘 들어주는 공감 능력을 가지고 있어요 .,She has the ability to sympathize with what I have to say .
400,그녀는 내 인생을 풍요롭게 해줬어 .,She enriched my life .
401,그녀는 내 잔에 우유를 가득 채웠어요 .,She filled my glass with milk .
402,그녀는 내 장난에 1번도 화를 내지 않았다 .,She never got angry at my joke .
403,그녀는 내 전화번호를 알고 있어요 .,She knows my phone number .
404,그녀는 내 주소만 알고 내 전화번호는 몰라 .,She knows my address but doesn t know my phone number .
405,그녀는 내 주소만 알고 전화번호는 몰라 .,She only knows my address not the phone number .
406,그녀는 내 집에서 나갈 거예요 .,She will move out of my house .
407,그녀는 내 집에서 이사를 갈 예정입니다 .,She will move out of my place .
408,그녀는 내 친구들을 다 빼앗아 갔어요 .,She took all my friends from me .
409,그녀는 내 친구에게 폐결핵이라고 말했어요 .,She told my friend it s tuberculosis .
410,그녀는 내 친구여서 나를 위해서 그렇게 말했습니다 .,She told like that for me since she is my friend .
411,그녀는 내 친구이자 스티븐의 친구입니다 .,She is my friend and steven s friend .
412,그녀는 내 침대에서 나와 함께 있었어 .,She was with me on my bed .
413,그녀는 내가 11살 때부터 지금까지 야구를 할 수 있게 도와주고 있다 .,She has helped me play baseball since I was 11 years old .
414,그녀는 내가 사준 핸드폰을 가지고 있어요 .,She has a mobile phone that I bought her .
415,그녀는 내가 사진 올리면 싫어 할 거예요 .,If I upload the photo she wouldn t like it .
416,그녀는 내가 생각한 것보다 더 뛰어났어요 .,She was more outstanding than I thought .
417,그녀는 내가 세상에서 가장 사랑하는 사람이에요 .,She is the one who I love the most in the world .
418,그녀는 내가 시도할 때 마다 옆에서 충고해주었다 .,She advised me everytime I tried .
419,그녀는 내가 어떤 사람인지 매우 잘 알고 있어 .,She well knows what kind of person I am .
420,그녀는 내가 영어를 가르쳐 주는 대가로 나에게 피아노를 가르쳐 주었어요 .,She is giving me piano lessons in exchange for her English class .
421,그녀는 내가 정말 좋아하는 내 친구입니다 .,She is my friend who I really like .
422,그녀는 내가 정말 좋아하는 누나입니다 .,The older sister is a person who I really care for her .
423,그녀는 내가 제목을 모르는 노래를 불렀어 .,She sang a song that I don t know its name .
424,그녀는 내가 제일 좋아하고 존경하는 가수입니다 .,She is the singer who I like and respect most .
425,그녀는 내가 존경 할 만한 사람입니다 .,She is the person I am willing to respect .
426,그녀는 내가 존과 무슨 일이 있는지 궁금해했어 .,She was wondering whether something s wrong between John and me .
427,그녀는 내가 하는 실험에 관심이 없고 오로지 나한테만 관심이 있어 .,She isn t interested in the experiment that I do but only me .
428,그녀는 내게 소리 지르고 들어가게 해달라고 했어요 .,She yelled at me and told me to let her in .
429,그녀는 내게 조용한 선율을 속삭였어요 .,She whispered a quiet melody to me .
430,그녀는 내게 커피 한잔을 갖다줬어요 .,She brought a cup of coffee for me .
431,그녀는 내년에 서울에 올 계획이야 .,She plans to visit Korea next year .
432,그녀는 내년에 한국으로 다시 돌아오나요 ?,Will she come back to Korea next year ?
433,그녀는 내용을 그림으로 쉽게 설명했어요 .,She explains with the picture very easily .
434,그녀는 냄새의 원인을 찾기 위해 정비소를 향해 운전했어요 .,She drove to the garage to find out the cause of the smell .
435,그녀는 냉장고에 포도즙을 많이 가지고 있습니다 .,She has lots of grape juice in her refrigerator .
436,그녀는 너그러운 사람이에요 .,She is a lenient person .
437,그녀는 너무 돈을 아낍니다 .,She is too stingy .
438,그녀는 너무 아름다워서 난 그녀를 쳐다보게 돼 .,She is so beautiful that I look at her .
439,그녀는 너무 잘 지내고 있어요 고마워요 .,She is quite well thank you .
440,그녀는 너무 취해서 팬티에 똥을 쌌어 .,She was so drunk she pooped in her panties .
441,그녀는 너무 행복해서 눈물을 흘렸습니다 .,She was so happy that she cried .
442,그녀는 너무나 태평스러워요 .,She s too easygoing .
443,그녀는 네 살 연상이고 신한은행 다녀 .,She is four years older and worked in Shinhan Bank .
444,그녀는 네 의견에 동의한다고 말했어 .,She said she agreed with your opinion .
445,그녀는 네가 다시 전화해주길 바라고있어 .,She wants to call back to you .
446,그녀는 노란색을 가장 좋아해요 .,She likes yellow color the most .
447,그녀는 노란색을 미친 듯이 좋아해요 .,She is crazy for yellow .
